index,repo_name,ncloc,code_smells,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
1,appium/appium,5047,33,494,No framework identified,4508,1002,4358
2,responsively-org/responsively-app,17629,209,990,react,43,184,832
3,FredrikNoren/ungit,11888,97,1510,express,85,353,3737
4,sdelements/lets-chat,6923,94,1087,express,89,83,1489
5,HabitRPG/habitica,129619,1242,11410,vue,974,3116,11075
6,qeeqbox/social-analyzer,2351,69,1021,express,2,7,671
7,zhukov/webogram,26106,764,8287,angular,143,169,1822
8,rawgraphs/rawgraphs-app,5847,88,552,react,42,101,896
9,angular-app/angular-app,3798,120,208,angular,18,61,393
10,1j01/jspaint,37277,1153,11860,No framework identified,38,59,1555
11,benoitvallon/react-native-nw-react-calculator,2409,9,117,react,3,5,186
12,szimek/sharedrop,1754,19,92,ember,9,21,372
13,prose/prose,7201,177,973,backbone,125,197,3331
14,tutao/tutanota,204051,2303,23412,express,1172,1866,6417
15,oklai/koala,4460,62,1061,No framework identified,89,63,412
16,wei/pull,1269,8,153,No framework identified,9,9,354
17,async-labs/builderbook,27742,170,2259,react,20,26,516
18,Melvin-Abraham/Google-Assistant-Unofficial-Desktop-Client,7059,109,1387,No framework identified,96,33,250
19,streamlink/streamlink-twitch-gui,38667,306,2285,ember,111,175,2544
20,zedapp/zed,35381,1031,24738,express,49,65,1200
21,mephux/komanda,31391,1260,43488,No framework identified,47,59,399
22,konstantinmuenster/notion-clone,2767,14,251,react,2,3,59
23,DemocracyOS/democracyos,17547,201,2254,react,331,720,6368
24,fossasia/pslab-desktop,12350,78,441,react,146,30,721
25,auchenberg/chrome-devtools-app,122329,3589,32856,No framework identified,6,4,124
26,vivek9patel/vivek9patel.github.io,2630,18,240,react,4,20,154
27,fossasia/knitweb,4407,323,1512,express,1,2,152
28,Parallels/rq-dashboard,4593,74,2014,No framework identified,21,24,447
29,stephomi/sculptgl,21448,260,4698,No framework identified,19,24,668
30,snorpey/jpg-glitch,7567,219,3525,No framework identified,3,14,173
31,blenderskool/blaze,2284,42,217,preact,24,5,383
32,writethedocs/www,8774,269,28095,No framework identified,24,1,5798
33,strongloop/strong-pm,5660,138,490,express,37,84,721
34,zulip/zulip-mobile,47851,258,1770,react,311,812,7809
35,gbraadnl/gauth,4346,357,1682,express,9,6,145
36,phonegap/phonegap-app-desktop,2703,61,562,express,215,63,1180
37,webpack/analyse,938,12,125,No framework identified,3,6,33
38,HashNuke/mogo-chat,29050,879,38173,phoenix,1,0,455
39,lonelyplanet/rizzo,30858,210,2207,No framework identified,17,212,8878
40,kiprotect/klaro,4371,82,911,preact,32,23,747
41,realdennis/md2pdf,623,10,19,react,2,6,65
42,code-dot-org/code-dot-org,605585,8226,187617,react,3,10,130
43,Kilian/fromscratch,1343,2,125,react,10,61,676
44,z-------------/CPod,5645,187,1949,No framework identified,33,19,253
45,firefox-devtools/profiler,85641,562,5568,react,170,217,4028
46,30-seconds/30-seconds-web,10582,100,818,react,31,54,1220
47,whiteout-io/mail,31934,588,23975,angular,12,166,1382
48,BlocklyDuino/BlocklyDuino,36958,455,3253,No framework identified,4,26,133
49,WebbyLab/itsquiz-wall,4923,59,387,react,1,33,498
50,nitrotasks/nitro,10508,123,1507,react,53,61,1389
51,jeremyckahn/stylie,8343,233,18793,backbone,6,19,575
52,tpiros/advanced-chat,617,54,214,express,2,5,44
53,aholachek/bundle-wizard,1801,63,288,react,2,24,127
54,stayawayinesctec/stayaway-app,11233,103,383,react,4,10,96
55,jappix/jappix,57049,1242,42975,No framework identified,107,458,1067
56,pascalopitz/unoffical-sonos-controller-for-linux,8456,97,680,react,11,65,321
57,flackr/circ,15641,700,3856,No framework identified,29,40,221
58,cgrossde/Pullover,3042,33,424,react,29,21,153
59,mithi/hexapod,4770,43,234,react,15,60,413
60,teamxenox/caligator,1111,18,178,No framework identified,7,4,62
61,18F/checklistomania,1660,15,107,express,3,17,122
62,artzub/GitHubVisualizer,7523,145,1464,react,15,37,79
63,ttencate/jfxr,2555,39,442,angular,11,10,182
64,jsha/blocktogether,5779,344,1050,express,15,34,772
65,cleanflight/cleanflight-configurator,28780,739,9990,No framework identified,37,542,3576
66,larvalabs/pullup,4342,197,1029,express,18,66,867
67,espruino/EspruinoWebIDE,150341,8411,134549,No framework identified,20,139,755
68,nextcloud/text,11431,55,420,vue,158,73,926
69,loqui/im,46147,6731,100016,No framework identified,145,253,1110
70,perak/kitchen-site,2685,145,879,No framework identified,28,0,32
71,project-serum/spl-token-wallet,8581,118,892,react,7,21,250
72,NemProject/NanoWallet,25687,641,2595,angular,158,123,916
73,hainguyents13/mechvibes,1005,10,181,No framework identified,3,15,54
74,moudy/agenda-ui,538,4,37,ember,2,2,26
75,midudev/covid-vacuna,2405,29,124,react,3,34,349
76,twolfson/google-music-electron,767,5,117,No framework identified,8,10,182
77,pboyer/flood,16660,908,3840,express,1,28,262
78,saviomartin/gradientking,1912,23,183,react,1,3,136
79,felixmariotto/Edelweiss,38118,1642,13341,express,2,105,584
80,cliss/camel,643,16,154,express,2,15,46
81,madisvain/upcount,4007,37,257,react,11,36,223
82,AmruthPillai/ResumeOnTheWeb-Gatsby,1973,5,31,react,1,11,68
83,percolatestudio/percolatestudio.com,2357,0,50,react,19,6,155
84,ioBroker/ioBroker.vis,22753,791,11871,No framework identified,16,352,1699
85,bjnortier/shapesmith,45309,1304,26342,backbone,17,11,135
86,radekstepan/burnchart,2905,77,344,react,4,14,179
87,zaknelson/hike.io,4989,139,1543,No framework identified,11,28,614
88,meteorhacks/kadira,8135,406,749,No framework identified,10,91,878
89,recall-photos/recall-app,1210,1,54,vue,1,1,92
90,Capgemini/mesos-ui,2593,56,119,react,5,11,65
91,UWFlow/rmc,44372,1719,44400,No framework identified,16,130,789
92,doxxx/ffxiv-craft-opt-web,6800,196,1266,No framework identified,30,63,923
93,kentcdodds/react-github-profile,1058,7,31,react,1,7,64
94,krasnoukhov/helloworldquiz,22951,701,28959,No framework identified,1,0,4
95,imgbi/img.bi,2079,45,247,angular,6,7,43
96,chatwoot/chatwoot-mobile-app,9663,100,466,react,59,44,154
97,Crowducate/crowducate-platform,4105,104,461,No framework identified,6,14,497
98,Vizzuality/gfw,60901,610,6838,react,30,2703,16187
99,ChrisCummins/chriscummins.github.io,8133,342,1520,No framework identified,4,12,154
100,owncloud/tasks,14563,278,2755,angular,62,19,447
101,irislib/iris-messenger,13757,968,6899,preact,1,153,997
102,divanov11/Mumble,6221,65,234,react,83,99,413
103,creationix/tedit,5916,162,1775,No framework identified,4,20,461
104,alichtman/deadbolt,535,11,29,react,5,4,71
105,vercel/swr-site,512,2,12,react,3,14,129
106,mifi/SimpleInstaBot,750,10,78,react,5,11,22
107,Temasys/getaroom,3986,105,1729,No framework identified,2,44,332
108,raindropio/mobile,19485,277,2686,react,1,37,368
109,KarlZhu-SE/ark-funds-monitor,2876,32,316,react,1,25,116
110,stackrole/gatsby-starter-foundation,1525,4,63,react,3,2,38
111,tinode/webapp,22613,617,7123,react,15,128,597
112,Siddharth11/iTunes-Remote,807,9,62,react,1,3,34
113,DanRuta/xVA-Synth,11478,445,6047,No framework identified,1,46,361
114,alphasights/ember-calendar,1360,3,51,ember,5,14,211
115,processing/p5.js-website,51487,1392,10251,No framework identified,99,130,1169
116,brantje/nextnote,2986,16,110,No framework identified,14,18,202
117,webcatalog/translatium-desktop,8272,96,832,react,18,5,230
118,AR-js-org/studio,1635,40,208,No framework identified,10,56,237
119,geobalas/Poker,1890,58,706,express,1,4,52
120,digitalbiblesociety/browserbible-3,38727,1429,27432,No framework identified,1,103,786
121,LeoAJ/react-iTunes-search,673,13,25,react,3,10,90
122,okfn/dataexplorer,3260,94,915,No framework identified,9,56,315
123,ros2/design,1907,86,774,No framework identified,2,8,27
124,amejiarosario/meanshop,4811,41,317,angular,6,19,86
125,codio/iloveopensource,4938,89,943,express,13,47,159
126,heartexlabs/label-studio-frontend,28788,553,4811,react,2,161,757
127,llaske/sugarizer,631109,21074,235223,No framework identified,102,275,2611
128,owncloud-archive/documents,35317,711,10395,No framework identified,131,36,464
129,kothariji/SyntaxMeets,3150,23,141,react,9,16,196
130,mdaines/grammophone,3912,35,898,No framework identified,3,10,196
131,aullman/opentok-meet,4336,20,485,angular,15,40,402
132,IliasHad/makerlapse-app,867,16,69,react,1,1,41
133,vote4hk/warsinhk,11930,145,658,react,8,245,401
134,Esri/ago-assistant,4454,93,1609,No framework identified,41,80,381
135,ReactiveX/reactivex.github.io,308725,4853,33760,No framework identified,6,1,50
136,joehoyle/vienna,6295,68,328,react,2,13,266
137,graham-walker/youtube-dl-react-viewer,7409,110,1323,react,1,4,80
138,tower/tower.github.io,14325,488,18994,express,2,1,69
139,calculist/calculist,1203,29,285,backbone,9,3,36
140,klayveR/xenontrade,1914,52,289,No framework identified,3,23,154
141,OpenSprinkler/OpenSprinkler-App,11279,328,4315,No framework identified,7,314,2241
142,ecaron/smart-nightlight-manager,3545,67,1720,express,1,1,31
143,avalanche123/cassandra-web,7320,393,8813,No framework identified,1,0,2
144,metamaps/metamaps,22153,510,4633,react,188,248,1084
145,codelitdev/courselit,18351,157,994,preact,11,28,199
146,carlelieser/Flixerr,7126,134,1138,react,5,12,149
147,simonv3/quick-survey,19565,32,164,angular,4,1,56
148,jellyfin/jellyfin-expo,3610,9,143,react,21,34,338
149,joaomgcd/JoinDesktop,20906,1061,9679,No framework identified,4,15,87
150,matomo-org/matomo-mobile-2,17125,311,2969,No framework identified,69,149,583
151,emuflight/EmuConfigurator,26995,933,9889,No framework identified,7,44,230
152,bhj/karaoke-forever,9078,76,974,react,1,288,2133
153,dotsmesh/dotsmesh-web-app,13445,961,5448,No framework identified,1,12,153
154,stimulant/ampm,18812,1550,28019,backbone,7,45,449
155,tidepool-org/uploader,55496,945,9339,react,18,874,5717
156,tbusser/jscc,2510,19,528,No framework identified,1,9,62
157,cleanflight/blackbox-log-viewer,10683,487,3674,No framework identified,4,32,455
158,conda-forge/conda-forge.github.io,20496,1037,28918,No framework identified,56,3,332
159,BrewCenter/OpenBrews,67164,1738,106999,angular,8,16,141
160,treyhboy/Mint,18047,394,29537,express,5,7,61
161,reactjs/ar.reactjs.org,6683,38,260,react,1,83,835
162,kossnocorp/chirrapp,2175,53,181,preact,1,3,111
163,jakubito/spotify-release-list,4315,19,269,react,3,8,261
164,Flowm/satvis,2328,38,232,vue,1,3,292
165,thebinarypenguin/socket.io-chess,1719,49,605,express,1,5,76
166,coders4help/volunteer_planner,49586,2083,27763,No framework identified,27,1,39
