index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,any-type-count_ncloc
75,kubernetes-sigs/kui,0.01896796,0.680669,1142254.338,0.192939958,0.001477825
76,erxes/erxes,0.003237458,0.196809758,2833215.977,0.058861617,0.007168658
77,freeCodeCamp/chapter,0.009430306,0.436090226,1281389.364,0.048701718,0.008267666
78,lewish/asciiflow,0.020335536,inf,4433204,0.182257245,0.00965938
79,fossasia/loklak_search,0.014591078,0.074175824,2214937.094,0.057063197,0.009107807
80,diego3g/rocketredis,0.010305484,0.196721311,inf,0.033492823,0
81,yang991178/fluent-reader,0.015185602,0.111111111,425166.6875,0.169066367,0.002249719
82,thecodingmachine/workadventure,0.027474243,0.107838243,2122486.539,0.127380581,0
83,itchio/itch,0.009580207,0.081053698,2043961.424,0.07968004,0.02071061
84,AdaptiveConsulting/ReactiveTraderCloud,0.00837245,0.236183828,2453121.955,0.048767828,0.006251128
85,trungk18/jira-clone-angular,0.007740399,0.075144509,inf,0.015480798,0.00893123
86,home-assistant/frontend,0.024514244,0.075149002,3290785.51,0.090332087,0.003431867
87,ever-co/ever-traduora,0.013105802,0.163179916,1484869,0.041296928,0.005324232
88,Yqnn/svg-path-editor,0.008270159,0.147058824,inf,0.156443832,0.004135079
89,superpowers/superpowers-core,0.032685079,0.069117647,2638563.929,0.348913221,0.057198889
90,kactus-io/kactus,0.005447262,0.04043436,2721896.22,0.095669061,0.001685476
91,colmena/colmena,0.027673057,0.105726872,5177032.885,0.03649635,0.106280581
92,mattermost/desktop,0.010462733,inf,4021323.128,0.13126955,0.001294359
93,DestinyItemManager/DIM,0.013250644,0.078147612,1470651.103,0.127880575,0.001694456
94,cloudhut/kowl,0.026446714,0.183756345,1440506.233,0.117255826,0.009112333
95,djyde/cusdis,0.023429711,0.16374269,137275.2,0.042622134,0.000498504
96,Figma-Linux/figma-linux,0.011143271,0.213675214,3246870.971,0.12170767,0.013603473
97,Physiix/topsi-project-manager,0.027714286,0.057803468,inf,0.057714286,0.024857143
98,thomasnordquist/MQTT-Explorer,0.009240246,0.025316456,2461531.4,0.072467488,0.025752909
99,benawad/fullstack-graphql-airbnb-clone,0.01010101,0.058139535,inf,0.035723085,0.017245627
100,housseindjirdeh/angular2-hn,0.024729521,0.180327869,inf,0.027820711,0.004636785
101,FiretableProject/firetable,0.019496089,0.19273743,2664983.324,0.078338116,0.014622067
102,sorry-cypress/sorry-cypress,0.002812692,0.17472119,1321726.629,0.045706249,0.00887756
103,primer/components,0.007398274,0.108626198,2971846.973,0.070653514,0
104,standardnotes/desktop,0.008573178,0.403614458,1295486.721,0.099612166,0.012451521
105,jasperapp/jasper,0.014990671,0.33447099,4858505.733,0.130219391,0.002637843
106,ParabolInc/parabol,0.006980707,0.225346687,4291650.113,0.057549754,0.016170653
107,react-native-elements/react-native-elements-app,0.00440451,0.358490566,1991006.261,0.014446794,0.00017618
108,stuffmatic/fSpy,0.006294155,0.142480211,inf,0.080411047,0.004495825
109,deckgo/deckdeckgo,0.010507214,0.168550874,1905908.143,0.14206022,0.005107985
110,RocketChat/Rocket.Chat.Electron,0.010844977,0.592592593,4274548.082,0.062275449,0.000864937
111,veloce/lichobile,0.01085719,0.07661823,2320364.799,0.167217394,0.00530364
112,prymitive/karma,0.008888108,0.624338624,6896576.442,0.036044265,0.003232039
113,GoogleChromeLabs/proxx,0.015362882,0.071808511,185969,0.100300194,0.003001942
114,emqx/MQTTX,0.016389341,0.346975089,1838583.615,0.112848743,0.00462905
115,martpie/museeks,0.015589815,0.049180328,3410441.191,0.079334835,0.004330504
116,ever-co/ever-demand,0.009379993,0.397217929,1813515.845,0.040035046,0.007988455
117,crowi/crowi,0.020545034,0.165692008,3041337.867,0.099135692,0.043498796
118,brimdata/brim,0.00811304,0.227488152,1536911.349,0.060786151,0.006978694
119,huggingface/Mongoku,0.015721772,0.133333333,inf,0.17198666,0.024773702
120,microsoft/TypeScript-Website,0.017519088,0.123595506,2145294.444,0.10595126,0.012289509
121,padloc/padloc,0.022690734,0.050767414,3570895.167,0.100080386,0.006321251
122,kubenav/kubenav,0.01692441,0.131372549,476428.6786,0.174398978,0
123,wireapp/wire-webapp,0.007606823,0.421663443,6706596.165,0.09452888,0.003780545
124,mitre-attack/attack-navigator,0.035354665,0.197979798,2213391.222,0.289102708,0.019243679
125,wireapp/wire-desktop,0.005816852,0.457777778,6485594.583,0.117168024,0.002825328
126,vega/lyra,0.024708763,0.145756458,3032837.177,0.14394895,0.010239668
127,MyCryptoHQ/MyCrypto,0.010426984,0.150846588,2185884.038,0.039552938,0.004885557
128,QingWei-Li/notea,0.013912772,0.472477064,238262.9,0.070501798,0.003126466
129,sagemathinc/cocalc,0.01368489,0.190689346,3753558.18,0.143055942,0.013044232
130,opstrace/opstrace,0.010789488,0.220534629,1515001.453,0.0687619,0.001108674
131,vladimiry/ElectronMail,0.017446958,0.077244259,1478851.414,0.098982991,0
132,SnosMe/awakened-poe-trade,0.014542936,0.234432234,1559527.246,0.175108825,0.001879699
133,pinterest/querybook,0.007253632,0.221088435,1513666.35,0.083999101,0.00937864
134,naveedgol/music-web-player,0.013221154,0.125,568812.6667,0.082331731,0.027043269
135,Snowtrack/SnowFS,0.014448669,0.328467153,199101.2667,0.185804816,0.007351077
136,PuruVJ/macos-web,0.001349528,inf,inf,0.020242915,0.002699055
137,roldanjr/pomatez,0.007347539,0.191176471,1600833.643,0.064903257,0.001796065
138,cds-snc/covid-alert-app,0.00789401,0.132021123,1818333.286,0.05249793,0.008335633
139,Tzahi12345/YoutubeDL-Material,0.019752077,0.226190476,2327066.76,0.123280207,0.008173273
140,ProbableTrain/MapGenerator,0.027123288,0.011764706,inf,0.165479452,0.010684932
141,Xmader/musescore-downloader,0.011580776,0.398671096,260283.9412,0.134916039,0.011001737
142,antfu/icones,0.014394581,0.306122449,inf,0.108382727,0.010160881
143,samuelmeuli/mini-diary,0.006469351,0.054263566,1454498.375,0.03461103,0.000485201
144,Heroic-Games-Launcher/HeroicGamesLauncher,0.016735415,0.365448505,595769.3445,0.105598114,0
145,felixmosh/bull-board,0.013013699,0.255172414,2054674.053,0.055136986,0.014726027
146,DimensionDev/Maskbook,0.012805131,0.412887237,1496583.267,0.092766301,0.002879518
147,threema-ch/threema-web,0.009526494,0.07483871,2878922.393,0.127226607,0.009075536
148,online-go/online-go.com,0.021926158,0.132287897,2383245.593,0.152246604,0.009839777
149,sct/overseerr,0.009846827,0.588555858,992889.3506,0.105828526,0.000124329
150,eugeneration/HappyIslandDesigner,0.013288608,0.197802198,inf,0.118049284,0.001677203
151,opensheetmusicdisplay/opensheetmusicdisplay,0.024250472,0.362121212,3121071.136,0.285065343,0.005276399
152,FarmBot/Farmbot-Web-App,0.002612482,0.130869131,2590312.4,0.041509434,0
153,xlayers/xlayers,0.00718844,0.441340782,2910137.474,0.04115015,0.01334996
154,denoland/deno_website2,0.016804676,0.247282609,4609545.111,0.116171456,0.002313687
155,rhysd/Shiba,0.003800058,0.24122807,724244.1429,0.08009354,0.015492546
156,standardnotes/mobile,0.019411814,0.555093555,10260465.03,0.128801133,0.002832625
157,poulainv/tottem,0.00318567,0.017699115,330451.3333,0.019715093,0.005289415
158,seokju-na/geeks-diary,0.00581973,0.026209677,801754.4444,0.049787083,0.011568488
159,Superjo149/auryo,0.007494572,0.549019608,3720453.333,0.115500455,0.030118372
160,Graviton-Code-Editor/Graviton-App,0.025181783,0.267368421,1152072.261,0.103023345,0.014159969
161,baku89/glisp,0.028196663,0.029885057,inf,0.189435174,0.010796823
162,bpatrik/pigallery2,0.010863964,0.244114002,5738211.39,0.123668842,0.020740295
163,BlokDust/BlokDust,0.039093879,0.166086957,3182503.496,0.161998608,0.054517217
164,bytedance/debugtron,0.018947368,0.376237624,inf,0.124210526,0.014736842
165,q-nick/npm-gui,0.015514068,0.211267606,inf,0.096502761,0.001314752
166,govizlora/optical-breacher,0.009608278,0.068965517,inf,0.100517369,0.000739098
167,doZennn/steam-rom-manager,0.029383196,0.197149644,1201108.35,0.262263235,0.01189898
168,ever-co/ever-gauzy,0.007683605,0.454893821,1163162.944,0.044930157,0.007830595
169,Nexus-Mods/Vortex,0.011985812,0.46878399,3576344.742,0.201041249,0.020367298
170,julianoappelklein/hokus,0.014979424,0.193877551,inf,0.112921811,0.046337449
171,automerge/pushpin,0.014498382,0.093862816,3792827.333,0.099805825,0.009708738
172,Noovolari/leapp,0.014231499,0.221804511,1810689.852,0.06799494,0.032099937
173,gilmarsquinelato/i18n-manager,0.009730331,0.079365079,4770713.714,0.07089241,0.024742841
174,nusmodifications/nusmods,0.004787807,0.136752137,3782164.439,0.053034166,0.002351408
175,njbrown/texturelab,0.038967644,0.06223176,inf,0.0783167,0.004195537
176,Ride-The-Lightning/RTL,0.01413808,0.235074627,1440536.517,0.163700301,0.019915315
177,szTheory/exifcleaner,0.017067494,0.126582278,2997867.2,0.06283941,0.008533747
178,awehook/blink-mind-desktop,0.01217656,0.168421053,inf,0.130337259,0.007930786
179,amborle/featmap,0.026738482,0.056603774,420858,0.121477349,0.002019813
180,mmazzarolo/ordinary-puzzles-app,0.007883212,0.090909091,inf,0.119416058,0.005839416
181,WoWAnalyzer/WoWAnalyzer,0.006052326,0.096728307,3234323.448,0.048644033,0.001393538
182,AiursoftWeb/Kahla.App,0.006458756,0.213193886,1394251.713,0.162391585,0.002398967
183,jhipster/jdl-studio,0.009150805,0.186046512,4448822.5,0.09114202,0.001830161
184,timche/gmail-desktop,0.006151743,0.183908046,4052893.926,0.134654819,0.000683527
185,ffxiv-teamcraft/ffxiv-teamcraft,0.007072385,0.414405427,652330.6982,0.073143637,0.011504999
186,ionic-team/ionic-react-conference-app,0.023324852,0.098591549,inf,0.056403732,0.013994911
187,viktorgullmark/exilence-next,0.025349585,0.098116947,1126395.569,0.061242803,0.005084873
188,mmazzarolo/breathly-app,0.005846154,inf,inf,0.066769231,0.004307692
189,paritytech/parity-signer,0.007221023,0.736111111,3180233.034,0.067892504,0.005434378
190,undergroundwires/privacy.sexy,0.003129514,0.279411765,3639519.563,0.050393195,0.002006099
191,jamaljsr/polar,0.010342385,0.252542373,660332.1333,0.047933884,0.0070366
192,shootismoke/mobile-app,0.022275259,0.603448276,4412220.3,0.050119332,0
193,deepkit/deepkit-ml,0.022525499,inf,inf,0.149260164,0.014193363
194,mizchi/next-editor,0.01155999,0.09375,inf,0.038695546,0.022754928
195,whyboris/Video-Hub-App,0.017786561,0.105384615,4511653.873,0.128678085,0.011418533
196,ArkEcosystem/desktop-wallet,0.00812879,0.267356882,2507382.365,0.034448063,0.010035216
197,mmulet/code-relay,0.007185074,inf,inf,0.069764747,0.003244872
198,icewind1991/files_markdown,0.017191977,0.102564103,11814988.29,0.159025788,0.005730659
199,anihalaney/rwa-trivia,0.022828784,0.030325581,inf,0.067478288,0.017152605
200,xyfir/accownt,0.0158831,0.014084507,inf,0.066073698,0.023506989
201,JumpFm/jumpfm,0.016018307,0.192982456,inf,0.077803204,0.003432494
202,daneden/daneden.me,0.002300966,0.046948357,556528.2,0.016566958,0
203,dungeon-revealer/dungeon-revealer,0.012913348,0.466887417,826143.381,0.079571969,0.002735538
204,cynicaloptimist/improved-initiative,0.011015167,0.03207331,4178042.59,0.067198052,0.00404074
205,ulangi/ulangi,0.004515452,0.648760331,529856.7273,0.032471209,0.006607473
206,ledokku/ledokku,0.015599129,0.201716738,358277.619,0.04671024,0.000958606
207,Nishkalkashyap/Quark-electron,0.056219255,0.162393162,inf,0.145467323,0.005621926
208,superpowers/superpowers-app,0.01754386,0.122807018,816993.8333,0.20414673,0.014035088
209,m0ngr31/DailyNotes,0.015706806,inf,inf,0.111256545,0.011125654
210,QardsJs/qards,0.008520121,0.085427136,271419.3333,0.064228601,0.018744265
211,cloudfoundry/stratos,0.004833713,0.175370642,2476704.798,0.059108313,0.009583692
212,nowfloats/ProjectAna,0.033880545,0.147286822,inf,0.145127489,0.005763185
213,develar/onshape-desktop-shell,0.009724473,0.153846154,inf,0.144246353,0.032414911
214,NMF-earth/nmf-app,0.007232704,0.274747475,1302177.5,0.020649895,0
215,scalabel/scalabel,0.009128323,0.4617737,3447088,0.094439459,0
216,ZeusLN/zeus,0.012305737,0.171428571,6742878.065,0.077416373,0.024669247
217,Doha26/Instagram-clone,0.020584011,inf,inf,0.048348492,0.026328387
218,harksys/HawkEye,0.066559886,0.030612245,inf,0.043602064,0.023135789
219,cybershard/auproximity,0.020338983,0.084745763,469651.7143,0.148728814,0.000423729
220,Alaanor/beatlist,0.00306547,0.158450704,4237447.071,0.046857894,0.002408583
221,jupyterlab/jupyterlab_app,0.015799708,0.10619469,3563077,0.108167234,0.012153622
222,etesync/etesync-web,0.011424135,0.136868064,3047088.846,0.095053239,0.013198758
223,satya164/PocketGear,0.003532434,inf,inf,0.048490687,0.011560694
224,digimezzo/knowte,0.019020716,0.058608059,947971.5,0.103201507,0.02165725
225,gtamas/etcdmanager,0.008154305,0.415204678,4413463.5,0.066488945,0.008624745
226,rhysd/Trendy,0.007920792,0.175257732,inf,0.121452145,0.012541254
227,NullVoxPopuli/emberclear,0.027845701,0.168330956,10844891.54,0.039822346,0.006287739
228,ProtonMail/proton-mail,0.014097173,0.262542955,inf,0.121664154,0.003279642
229,infinitered/ChainReactApp2019,0.002364066,0.158823529,379394.8571,0.042553191,0.00727405
230,deniszholob/factorio-cheat-sheet,0.00743648,0.216216216,3612882.5,0.019417476,0.00185912
231,oddbit/tanam,0.007014893,0.02699784,796886.9444,0.050399309,0.005827757
232,owsolutions/angular5-iot-dashboard,0.015612889,0.126903553,5631641,0.063115934,0.023696158
233,diego3g/umbriel,0.023300645,0.154929577,455643.6,0.031346911,0.001257229
234,m-inan/react-native-music-app,0.003460208,0.115942029,inf,0.041906959,0.006535948
235,SerenityNotes/serenity-notes-clients,0.011714757,0.201680672,inf,0.084833713,0.009906439
236,franky47/francoisbest.com,0.006962576,0.288135593,inf,0.042754569,0.004895561
237,Alfresco/alfresco-content-app,0.007631055,0.309742647,5323212.688,0.04799823,0.012320283
238,flappy-royale/flappy-royale,0.017061144,0.0997151,254823,0.114891519,0.006114398
239,tagyoureit/nodejs-poolController,0.040174579,0.065217391,2019625.362,0.403856473,0.018709977
240,Activiti/activiti-modeling-app,0.005015811,0.387631976,inf,0.043016029,0.009350125
241,crypto-com/chain-desktop-wallet,0.007927904,0.094339623,708544.0952,0.057053801,0.002710394
242,gnosis/safe-react,0.008073037,0.249539595,3394233.468,0.068160269,0.003115434
243,LiveSplit/LiveSplitOne,0.010358566,0.057591623,3870021.855,0.123505976,0.005710491
244,hyperspacedev/hyperspace,0.012139475,0.065909091,2522856.875,0.087903573,0.016530349
245,massif-press/compcon,0.008037149,0.36178632,1824431.948,0.086265405,0.002500447
246,robertknight/passcards,0.012804218,0.072580645,3045171.316,0.081109071,0.011156616
247,lazerwalker/azure-mud,0.02531508,0.111564626,977857.0357,0.092242503,0.006410256
248,jussikinnula/angular-socket-io-chat,0.021863118,inf,inf,0.05513308,0.025665399
249,microsoftgraph/microsoft-graph-explorer,0.008253461,0.101021566,4950267.909,0.052582535,0.007587859
250,Teyvat-Moe/Teyvat.moe,0.014073495,0.279069767,981695.0909,0.057770828,0.004083051
251,zyrouge/yukino-app,0.010288066,inf,166918.5714,0.103523663,0.005915638
252,solendil/FractalJS,0.010122699,0.19924812,2396693.4,0.108282209,0.013190184
253,4gray/iptvnator,0.005363368,0.151515152,807372.2857,0.042370609,0.003218021
254,fttx/barcode-to-pc-app,0.032466223,0.197115385,3943007.588,0.22887679,0.003428111
255,pdepip/mmap.it,0.041692595,0.347826087,1221080.7,0.068450529,0.011200996
256,ethersphere/bee-dashboard,0.01048218,0.516666667,775651.4286,0.05870021,0
257,natixco/tabby,0.011160714,0.076923077,inf,0.05952381,0.008184524
258,lowmess/lowmess.com,0.003205128,0.072,inf,0.014652015,0
259,FrogTheFrog/steam-gyro-for-cemuhook,0.008496177,0.169230769,inf,0.196898895,0.016567545
260,justindujardin/angular-rpg,0.01099171,0.281553398,inf,0.087196807,0.021614983
261,frzyc/genshin-optimizer,0.017861332,0.189655172,inf,0.077108676,0.010522436
262,transistorsoft/cordova-background-geolocation-SampleApp,0.008338125,0.016393443,279549.8462,0.054054054,0.021851639
263,elyukai/optolith-client,0.012926496,0.147938561,2591276.148,0.062877477,0.008520836
264,inkandswitch/capstone,0.007893793,0.077199282,551460.4545,0.099031216,0.010405454
265,formium/formium,0.017378711,0.05,979517.3636,0.098479363,0.043808834
266,InseeFrLab/keycloakify,0.002507566,0.120300752,inf,0.015304799,0.000864678
267,azu/irodr,0.00420447,0.539325843,2226575.333,0.063730914,0.005753485
268,runbox/runbox7,0.007941356,0.440717629,4114922.257,0.10299328,0.012919976
269,cybersemics/em,0.024057488,0.052744887,2539968.711,0.110185378,0.002655697
270,airgap-it/airgap-wallet,0.011968085,0.340192926,inf,0.077763645,0.010349214
271,Azure/azure-iot-explorer,0.005744303,0.390625,2474667.9,0.046974793,0.007180379
272,demokratie-live/democracy-client,0.016016547,0.203140334,5000758.349,0.027445573,0.017846252
273,LiskHQ/lisk-core,0.009579768,0.112871287,1068554.322,0.04930387,0.002043684
274,Prisma-care/mobile-app,0.020852641,0.24744898,589026.15,0.033595922,0.0057924
275,intershop/intershop-pwa,0.003381698,0.131607048,3276104.43,0.040869414,0.000587703
276,microsoft/tilecode,0.018206039,0.149350649,2378235.074,0.218176436,0.00044405
277,ashfurrow/blog,0.002361972,0.01754386,687009.8947,0.01535282,0.004428698
278,moshfeu/y2mp3,0.006518905,0.131578947,1469503.417,0.069100391,0.004345937
279,vincentlaucsb/experiencer,0.014776571,0.029288703,inf,0.081182126,0.002848496
280,artutra/OpenChord,0.017220172,0.061926606,4720977.111,0.083230832,0.000820008
281,bullhorn/career-portal,0.013367609,0.25,4559399.143,0.103341902,0.079691517
282,daostack/alchemy,0.019415358,0.215060428,2805886.831,0.141743019,0.028250436
283,d4l-data4life/covapp,0.015228426,0.129032258,inf,0.0750141,0.002068058
284,dittos/diffmonster,0.036142002,inf,inf,0.064157399,0.004063302
285,ionic-team/ionic-stencil-conference-app,0.012452626,0.365591398,inf,0.061180292,0.029778018
286,aredden/electron-G14Control,0.01235422,0.23880597,inf,0.130559399,0.008796205
287,gigocabrera/MoneyLeash2,0.013017443,0.452702703,inf,0.070033845,0.014319188
288,neo-one-suite/neo-one,0.006131934,0.316443595,5101536.63,0.0643258,0.005048354
289,dedpnd/yaradio-yamusic,0.017735334,inf,5604187.222,0.095497954,0.006821282
290,commudle/commudle-ng,0.014986209,0.25,inf,0.046184493,0.008703647
291,remap-keys/remap,0.003806541,0.140659341,530104.7179,0.020140295,0.001209436
292,ritz078/raaga,0.011983223,0.434210526,16993507,0.063211504,0.006291192
293,burst-apps-team/phoenix,0.007483278,0.612691466,1199572.496,0.052257525,0.011120401
294,cheshire137/competiwatch-desktop,0.007452094,0.007168459,922119.3636,0.104092737,0.007806955
295,dzcode-io/dzcode.io,0.012978369,0.156387665,1343768.286,0.05906822,0
296,qusly/qusly,0.011009174,0.228360958,inf,0.072110092,0.008623853
297,peterpeterparker/tietracker,0.008466888,0.151589242,2449619.25,0.121409132,0.002570305
298,onflow/flow-playground,0.008141268,0.134615385,3753977.667,0.047242289,0.014103887
299,ArkEcosystem/mobile-wallet,0.007632122,0.327806122,4075659.469,0.043920703,0.008016128
300,jsynowiec/airqmon,0.00605013,0.036199095,885974.8571,0.052290406,0
301,commandeer/open,0.030869972,0.027777778,3897897.788,0.100561272,0.013564079
302,cherrytwist/client-web,0.006617305,0.062882582,648771.2573,0.047108059,0.000608077
303,sef-global/scholarx-frontend,0.005572893,0.01980198,935488.3429,0.065537227,0.001114579
304,Joystream/pioneer,0.00523075,0.096952909,489199.3784,0.025531645,0.005941725
305,rolling-scopes-school/RSS-Teams-FE,0.005257175,0.394514768,63730.53846,0.043194089,0.004262575
306,lensterxyz/lenster,0.00518826,0.213333333,1944384.335,0.063074414,0.190779721
307,immich-app/immich,0.011998369,0.555555556,1537138.304,0.06159357,0
308,Bin-Huang/chatbox,0.005669738,0.18,2166705.668,0.073352232,0.003897945
309,FlowiseAI/Flowise,0.013297872,0.25,450963.0241,0.10754228,0.012547736
310,ixahmedxi/noodle,0.00602669,0.3125,372585.6667,0.018941025,0
311,teaxyz/cli,0.030534351,0.168831169,1493786.29,0.267175573,0.00610687
312,yaklang/yakit,0.023092369,0.144444444,1333295.656,0.073293173,0.442771084
313,e2b-dev/e2b,0.006726929,0.039473684,304246.5385,0.049611099,0.008618877
314,lenstube-xyz/lenstube,0.007705479,0.5,1885256.907,0.028640737,0.045193249
315,futantan/OpenGpt,0.011140991,0.175,inf,0.056089128,0.004225893
316,bluesky-social/social-app,0.037337038,0.361445783,1241904.528,0.079653772,0.003227185
317,Lissy93/web-check,0.011041009,0.116666667,inf,0.063091483,0.085962145
318,liou666/polyglot,0.011209896,0.25,227607.2857,0.057209123,0.004638578
319,Mayandev/notion-avatar,0.007801418,0.396551724,inf,0.025531915,0.003546099
320,gmpetrov/databerry,0.03125,0.337078652,inf,0.035,0.089375
321,rainbow-me/rainbowkit,0.002103049,0.779661017,2322694.864,0.0446898,0.013144059
322,cfortuner/promptable,0.051432029,0.153846154,inf,0.053247277,0.024405002
323,ballerine-io/ballerine,0.005149559,0.472222222,4503886.15,0.033385897,0
